"global_index","worker","episode","episode_index","name","region","address","address_display","category","card_menu","menus","output_file","output_path"
"1","1","EP.01","1","배신식당","경북 김천시","경북 김천시 감문면 배시내길 46 (태촌리 119-1)","경북 김천시 감문면 배시내길 46","육류,고기요리","석쇠불고기(양념) 400g 1접시","석쇠불고기(양념) 400g 1접시 (22,000원) / 석쇠불고기(소금구이) 400g 1접시 (22,000원)","001_배신식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.01\001_배신식당.png"
"2","1","EP.01","2","단골식당","대구 북구","대구 북구 칠성시장로7길 9-1 (칠성동1가 92-6)","대구 북구 칠성시장로7길 9-1","한식","전메뉴 포장/택배가능","전메뉴 포장/택배가능 (8,000원) / 전메뉴 포장/택배가능 (9,000원) / 전메뉴 포장/택배가능 (1,000원) / 단골식당 소주/맥주 (4,000원) / 단골식당 막걸리 (3,000원) / 단골식당 음료수 (1,500원)","002_단골식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.01\002_단골식당.png"
"3","1","EP.01","3","성북동돼지갈비","서울 성북구","서울 성북구 성북로 115 (성북동 114-2)","서울 성북구 성북로 115","돼지고기구이","4인 불백2+쭈꾸미2+우렁된장1","4인 불백2+쭈꾸미2+우렁된장1 (54,000원) / 돼지불고기백반 (12,000원) / 떡갈비백반 (12,000원) / 반반백반(불고기+떡갈비) (12,000원) / 돼지갈비백반 (13,000원) / 아버지냉면 (9,000원) / 돼지불백 특 (17,000원) / 쭈꾸미정식 (12,000원) / 우렁된장찌개백반 (9,000원) / 1인 불고기+냉면 (18,000원) / 1인 불백+우렁된장 (18,000원) / 2인 불백2+우렁된장1 (30,000원) / 2인 불백2+냉면1 (31,000원) / 3인 불백3+우렁된장1 (42,000원) / 3인 불백2+쭈꾸미1+우렁된장1 (42,000원)","003_성북동돼지갈비.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.01\003_성북동돼지갈비.png"
"4","1","EP.01","4","쌍다리돼지불백","서울 성북구","서울 성북구 성북로23길 4 (성북동 109-2)","서울 성북구 성북로23길 4","돼지고기구이","돼지불백","돼지불백 (13,000원) / 양 1.5배 UP (성인 남성 1인분 추천) (18,000원) / 낙지볶음 (13,000원) / 돼지불백비빔밥 (13,000원) / 부대찌개 (13,000원) / 불쌈냉면 (18,000원) / 야유회, 캠핑 및 가족모임 추천 (30,000원)","004_쌍다리돼지불백.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.01\004_쌍다리돼지불백.png"
"5","1","EP.01","5","송현불고기","전남 나주시","전남 나주시 건재로 193 (대호동 311-33)","전남 나주시 건재로 193","육류,고기요리","불고기 1인분(250g)","불고기 1인분(250g) (15,000원) / 공기밥 (1,000원)","005_송현불고기.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.01\005_송현불고기.png"
"6","1","EP.02","1","산골농원","경기 가평군","경기 가평군 설악면 어비산길99번길 75-7 (가일리 86-1)","경기 가평군 설악면 어비산길99번길 75-7","닭볶음탕","솥뚜껑전골","","001_산골농원.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.02\001_산골농원.png"
"7","1","EP.02","2","보광정가든","경기 양평군","경기 양평군 옥천면 용천로149번길 27 (용천리 220-3)","경기 양평군 옥천면 용천로149번길 27","한식","닭볶음탕","","002_보광정가든.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.02\002_보광정가든.png"
"8","1","EP.02","3","한영식당","대전 중구","대전 중구 계룡로874번길 6 (오류동 149-25)","대전 중구 계룡로874번길 6","닭요리","닭볶음탕(대)","닭볶음탕(대) (51,000원) / 닭볶음탕(소) (34,000원)","003_한영식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.02\003_한영식당.png"
"9","1","EP.02","4","계림식당","서울 종로구","서울 종로구 돈화문로4길 39 (종로3가 167)","서울 종로구 돈화문로4길 39","닭볶음탕","닭도리탕(소)","닭도리탕(소) (30,000원) / 닭도리탕(중) (42,000원) / 닭도리탕(대) (55,000원) / 볶음밥 (3,000원)","004_계림식당.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.02\004_계림식당.png"
"10","1","EP.03","1","달고떡볶이","대구 달서구","대구 달서구 야외음악당로39길 54 (두류동 486-2)","대구 달서구 야외음악당로39길 54","종합분식","떡볶이+만두","떡볶이+만두 (2,000원) / 떡볶이만 (2,000원) / 만두에 떡볶이 양념을 끼얹음 (2,000원) / 흰만두 6개 (1인분) (2,000원) / 순대 (1인분) (3,000원) / 찐계란 2알 (1,000원) / 사이다 (캔) (2,000원) / 콜라 (캔) (2,000원)","001_달고떡볶이.png","C:\Users\Alfred\Desktop\백종원의 3대천왕\EP.03\001_달고떡볶이.png"
