episodeNumber,episodeLabel,uploadDate,videoTitle,videoUrl,contentType,restaurantId,restaurantName,country,region,address,category,representativeMenu,menusAndPrices,lat,lng,phone,operationStatus,operationSummary,weeklyHours,kakaoPlaceId,placeUrl,rating,reviewCount,facilities,officialDescriptionAddress,verification,notes
1,1화,2022-03-11,[sub] 성시경의 먹을텐데 l 대성집 도가니탕,https://www.youtube.com/watch?v=wu1fOmsPEr8,restaurant,mogeultende_c1077a62c915,대성집,대한민국,서울 종로구,서울 종로구 사직로 5,국밥,도가니탕,"도가니탕 13,000원 | 도가니탕 (특) 17,000원 | 해장국 7,000원 | 수육 30,000원",37.57270496,126.96088845,02-735-4259,영업 전,10:30 오픈,수 10:30 ~ 20:00 / 14:30 ~ 17:00 브레이크타임 | 목 10:30 ~ 20:00 / 14:30 ~ 17:00 브레이크타임 | 금 10:30 ~ 20:00 / 14:30 ~ 17:00 브레이크타임 | 토 10:30 ~ 19:00 / 14:30 ~ 17:00 브레이크타임 | 일 휴무일 | 월 10:30 ~ 20:00 / 14:30 ~ 17:00 브레이크타임 | 화 10:30 ~ 20:00 / 14:30 ~ 17:00 브레이크타임,24448306,https://place.map.kakao.com/24448306,4.2,578,"{""reservation"":false,""delivery"":false,""accessible"":true,""takeout"":true,""parking"":true,""pets"":false,""wifi"":false}",서울 종로구 행촌동 209-35 (서울 종로구 사직로 5),official_description,
2,2화,2022-03-17,[sub] 성시경의 먹을텐데 l 어머니 대성집 해장국,https://www.youtube.com/watch?v=28pXe1a9yrA,restaurant,mogeultende_7f5b1324c28c,어머니대성집,대한민국,서울 동대문구,서울 동대문구 왕산로11길 4,해장국,해장국,"해장국 14,000원 | 육회비빔밥 17,000원 | 육회 35,000원 | 소고기수육 40,000원",37.57741837,127.02858467,02-923-1718,영업 중,24시간 영업,수 00:00 ~ 24:00 / 15:00 ~ 18:00 브레이크타임 | 목 00:00 ~ 24:00 / 15:00 ~ 18:00 브레이크타임 | 금 00:00 ~ 24:00 / 15:00 ~ 18:00 브레이크타임 | 토 00:00 ~ 24:00 / 15:00 ~ 18:00 브레이크타임 | 일 00:00 ~ 15:00 | 월 18:00 ~ 24:00 | 화 00:00 ~ 24:00 / 15:00 ~ 18:00 브레이크타임,907979960,https://place.map.kakao.com/907979960,3.4,637,"{""reservation"":true,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":true,""pets"":false,""wifi"":true}",서울 동대문구 왕산로11길 4 (용두동 232-26),official_description,
3,3화,2022-03-25,[sub] 성시경의 먹을텐데 l 약수 순대국,https://www.youtube.com/watch?v=p52CSWUXQMk,restaurant,mogeultende_8cf850d13d0f,약수순대국,대한민국,서울 중구,서울 중구 동호로7길 14,순대,순대국(보통),"순대국(보통) 12,000원 | 순대국(특) 14,000원 | 머릿고기 30,000원",37.55328275,127.01080322,02-2236-5926,영업 전,10:00 오픈,수 10:00 ~ 19:30 / 19:00 라스트오더 | 목 10:00 ~ 19:30 / 19:00 라스트오더 | 금 10:00 ~ 19:30 / 19:00 라스트오더 | 토 10:00 ~ 19:30 / 19:00 라스트오더 | 일 휴무일 | 월 10:00 ~ 19:30 / 19:00 라스트오더 | 화 10:00 ~ 19:30 / 19:00 라스트오더,13499817,https://place.map.kakao.com/13499817,3.1,393,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":false,""pets"":false,""wifi"":true}",서울 중구 다산로8길 7 (신당동 368-77),official_description,
4,4화,2022-04-01,[sub] 성시경의 먹을텐데 l 화목 순대국,https://www.youtube.com/watch?v=DpGJEDKsf1o,restaurant,mogeultende_dfdecd83b7c9,화목순대국,대한민국,서울 영등포구,서울 영등포구 여의대방로 383,순대,순대국,"순대국 11,000원 | 내장탕(특) 12,000원 | 내장탕 11,000원 | 순대탕 11,000원",37.51925139,126.93129172,02-780-8191,영업 전,10:30 오픈,수 10:30 ~ 22:00 / 14:30 ~ 17:00 브레이크타임 | 목 10:30 ~ 22:00 / 14:30 ~ 17:00 브레이크타임 | 금 10:30 ~ 22:00 / 14:30 ~ 17:00 브레이크타임 | 토 10:30 ~ 22:00 / 14:30 ~ 17:00 브레이크타임 | 일 휴무일 | 월 10:30 ~ 22:00 / 14:30 ~ 17:00 브레이크타임 | 화 10:30 ~ 22:00 / 14:30 ~ 17:00 브레이크타임,21423297,https://place.map.kakao.com/21423297,3.6,1731,"{""reservation"":true,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":false,""pets"":false,""wifi"":false}",서울 영등포구 여의대방로 383 경도상가 1층 (여의도동 44-14 1F),official_description,
5,5화,2022-04-05,성시경의 먹을텐데 l 신미식당 감자탕,https://www.youtube.com/watch?v=a4IFiQUf3D4,restaurant,mogeultende_1c687615786c,신미식당,대한민국,서울 강남구,서울 강남구 압구정로 214,"육류,고기",순두부,"순두부 9,000원 | 제육볶음 11,000원 | 감자탕 11,000원 | 된장찌개 9,000원",37.52793499,127.03087366,02-516-4900,영업 전,11:00 오픈,수 11:00 ~ 22:00 / 15:00 ~ 17:00 브레이크타임 | 목 11:00 ~ 22:00 / 15:00 ~ 17:00 브레이크타임 | 금 11:00 ~ 22:00 / 15:00 ~ 17:00 브레이크타임 | 토 휴무일 | 일 11:00 ~ 22:00 / 15:00 ~ 17:00 브레이크타임 | 월 11:00 ~ 22:00 / 15:00 ~ 17:00 브레이크타임 | 화 11:00 ~ 22:00 / 15:00 ~ 17:00 브레이크타임,11892123,https://place.map.kakao.com/11892123,4,206,"{""reservation"":true,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":true,""pets"":false,""wifi"":false}",서울 강남구 압구정로 214 현대종합상가빌딩 1층,official_description,
6,6화,2022-04-08,[sub] 성시경의 먹을텐데 l 신당 중앙시장 습격사건,https://www.youtube.com/watch?v=QakFqXFK2Xs,restaurant,mogeultende_950ce20b716e,옥경이네건생선,대한민국,서울 중구,서울 중구 퇴계로85길 7,"해물,생선",갑오징어 구이 (소),"갑오징어 구이 (소) 39,000원 | 우럭젓국 (소) 40,000원 | 아귀탕 (소) 40,000원 | 애호박두부젓국 (소) 25,000원",37.56609471,127.0195365,02-2233-3494,영업 전,13:00 오픈,수 13:00 ~ 01:00 / 23:40 라스트오더 | 목 13:00 ~ 01:00 / 23:40 라스트오더 | 금 13:00 ~ 01:00 / 23:40 라스트오더 | 토 13:00 ~ 01:00 / 23:40 라스트오더 | 일 13:00 ~ 01:00 / 23:40 라스트오더 | 월 휴무일 | 화 13:00 ~ 01:00 / 23:40 라스트오더,27584176,https://place.map.kakao.com/27584176,3.3,1060,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":true,""parking"":false,""pets"":false,""wifi"":true}",서울 중구 퇴계로85길 7 (황학동 723-2),official_description,
6,6화,2022-04-08,[sub] 성시경의 먹을텐데 l 신당 중앙시장 습격사건,https://www.youtube.com/watch?v=QakFqXFK2Xs,restaurant,mogeultende_5c66c8ef9dec,산전,대한민국,서울 중구,서울 중구 퇴계로85길 27,일본식주점,수제어묵(3P),"수제어묵(3P) 15,000원 | 어묵탕 25,000원 | 골뱅이무침 25,000원 | 아귀포 15,000원",37.56699661,127.01952202,,영업 전,16:00 오픈,수 16:00 ~ 24:00 | 목 16:00 ~ 24:00 | 금 16:00 ~ 24:00 | 토 16:00 ~ 24:00 | 일 16:00 ~ 24:00 | 월 16:00 ~ 24:00 | 화 16:00 ~ 24:00,467516178,https://place.map.kakao.com/467516178,2.5,25,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":false,""pets"":false,""wifi"":false}",서울특별시 중구 퇴계로85길 27 (황학동 348),official_description,
6,6화,2022-04-08,[sub] 성시경의 먹을텐데 l 신당 중앙시장 습격사건,https://www.youtube.com/watch?v=QakFqXFK2Xs,restaurant,mogeultende_398a828545bb,영미식당,대한민국,서울 중구,서울 중구 퇴계로83길 10-14,한식,갈치조림,"갈치조림 26,000원 | 제육볶음 (1인) 10,000원 | 조기찌개 20,000원 | 동태찌개 18,000원",37.56602361,127.01903958,02-2234-8087,영업 전,10:00 오픈,수 10:00 ~ 22:00 / 15:00 ~ 16:00 브레이크타임 | 목 10:00 ~ 22:00 / 15:00 ~ 16:00 브레이크타임 | 금 10:00 ~ 22:00 / 15:00 ~ 16:00 브레이크타임 | 토 10:00 ~ 22:00 / 15:00 ~ 16:00 브레이크타임 | 일 휴무일 | 월 10:00 ~ 22:00 / 15:00 ~ 16:00 브레이크타임 | 화 10:00 ~ 22:00 / 15:00 ~ 16:00 브레이크타임,23965143,https://place.map.kakao.com/23965143,3.2,54,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":false,""pets"":false,""wifi"":false}",서울 중구 퇴계로83길 10-19 (황학동 372),official_description,
7,7화,2022-04-15,성시경의 먹을텐데 l 경원식당 부대찌개,https://www.youtube.com/watch?v=s1ToTcCXgy0,restaurant,mogeultende_bfb1e22c3876,경원식당 본점,대한민국,경기 의정부시,경기 의정부시 둔야로49번길 21,"찌개,전골",부대찌개,"부대찌개 12,000원 | 김치찌개 12,000원",37.74027078,127.0382851,031-878-5464,영업 전,10:00 오픈,수 10:00 ~ 21:00 / 16:00 ~ 17:00 브레이크타임 / 20:30 라스트오더 | 목 10:00 ~ 21:00 / 16:00 ~ 17:00 브레이크타임 / 20:30 라스트오더 | 금 10:00 ~ 21:00 / 16:00 ~ 17:00 브레이크타임 / 20:30 라스트오더 | 토 10:00 ~ 21:00 | 일 10:00 ~ 21:00 | 월 10:00 ~ 21:00 / 16:00 ~ 17:00 브레이크타임 / 20:30 라스트오더 | 화 휴무일,10180071,https://place.map.kakao.com/10180071,3.9,487,"{""reservation"":true,""delivery"":true,""accessible"":true,""takeout"":true,""parking"":true,""pets"":false,""wifi"":true}",경기도 의정부시 둔야로49번길 21 (경기도 의정부시 의정부동 483),official_description,
8,8화,2022-04-19,성시경의 먹을텐데 l 첫 게스트와 안동국시 (GUEST.유세윤),https://www.youtube.com/watch?v=AHPEiQSyezo,restaurant,mogeultende_6d4b0160f3c4,안동국시,대한민국,서울 강남구,서울 강남구 언주로167길 46,국수,안동 국시,"안동 국시 15,000원 | 건진 국시 17,000원 | 우리밀 국시 17,000원 | 수육 (대) 54,000원",37.52659648,127.02939111,02-548-4986,영업 전,11:00 오픈,수 11:00 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 | 목 11:00 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 | 금 11:00 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 | 토 11:00 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 | 일 휴무일 | 월 11:00 ~ 21:00 / 15:00 ~ 17:00 브레이크타임 | 화 11:00 ~ 21:00 / 15:00 ~ 17:00 브레이크타임,10583440,https://place.map.kakao.com/10583440,3.3,120,"{""reservation"":false,""delivery"":false,""accessible"":false,""takeout"":false,""parking"":false,""pets"":false,""wifi"":false}",서울 강남구 언주로167길 46 (신사동 612-2),official_description,
