콘텐츠명,노키즈존,예약가능여부,룸보유여부,유아서비스기타,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,대표메뉴기타
웅스키친,,,,,11:30,20:30,11:30,20:30,,,
제주기정떡,,,,,09:00,16:00,09:00,16:00,,,
곽지식당,,,,,11:00,23:00,11:00,23:00,,,
쉬림프봉봉&올레파머스,,,,,10:00,18:00,10:00,18:00,,,
준반점,,,,,08:30,21:00,08:30,21:00,,,
돌하르방 뚝배기,,y,,,09:00,16:00,09:00,16:00,,,
대관원,,,,,11:00,21:00,11:00,21:00,,,
버거307,,,,,12:00,16:00,12:00,16:00,,,
동방양꼬치구이,,,,,04:00,02:00,04:00,02:00,,,
용두암 바당회국수,,,,,08:00,22:00,08:00,22:00,,,
돌하르방식당,,,,,10:00,17:00,10:00,17:00,,,
킨포크,,,,,10:00,22:00,10:00,22:00,,,
키스더티라미수,,,,,,,,,,,
바다위에코끼리,,,,,10:00,18:00,10:00,18:00,,,
돌토고리족욕카페,,,,,10:00,22:00,10:00,22:00,,,
라스또르따스,,,,,11:00,15:00,11:00,15:00,,,
라쁠라주,,,,,09:00,00:00,09:00,00:00,,,
채원일식,,,,,11:30,22:00,11:30,22:00,,,
함덕밀면,,,,,11:00,20:00,10:00,21:00,,,
탐라 뚝배기,,,,,08:00,19:00,08:00,19:00,,,
토담골,,,,,10:00,22:00,10:00,22:00,,,
갤러리앤카페고팡,,,,,10:00,18:00,10:00,18:00,,,
골막식당,,,,,06:30,18:00,06:30,18:00,,,
다래향,,,,,10:00,20:00,10:00,20:00,,,
길벗식당,,,,,10:00,22:00,10:00,22:00,,,
민봉태중화요리,,,,,11:00,20:30,11:00,20:30,,,
세자매식당,,,,,11:00,21:00,09:30,19:30,,,
땅꼬분식 뷔페,,,,,11:00,20:00,11:00,20:00,,,
협재해녀의집,,,,,10:00,22:00,10:00,22:00,,,
치저스,,,,,11:00,16:00,11:00,15:00,,,
신옛촌,,,,,08:30,20:00,08:30,20:00,,,
가든이다,,,,,12:00,22:30,12:00,22:30,,,
업체등록확인,,,,,00:00,00:00,00:00,00:00,,,
강정해녀의집,,,,,10:00,20:00,10:00,20:00,,,
이성필 커피볶는집,,,,,10:00,00:00,10:00,00:00,,,
명당양과,,,,,07:00,23:00,07:00,23:00,,,
한림로342쩜빵,,,,,11:00,21:30,11:00,16:00,,,
마중물삼계탕,,,,,10:00,22:00,10:00,22:00,,,"삼계탕 13.000원 전복삼계탕 15,000원 등"
산라한,,,,,11:30,22:00,11:30,22:00,,,점심뷔페 8000원
늘봄흑돼지,,,,,11:00,23:00,11:00,23:00,,,
고메아일랜드,,,,,11:30,21:00,11:30,21:00,,,
우유부단,y,,,,10:00,18:00,10:00,18:00,,,
저팔계깡통연탄구이,,,,,16:00,23:00,16:00,23:00,,,
하와이새우트럭,,,,,11:30,22:00,11:30,22:00,,,
물금,,,,,08:00,23:00,08:00,23:00,,,
아랑,,,,,10:30,21:00,10:30,21:00,,,
해금강횟집,,y,,,12:00,22:00,12:00,22:00,,,
산포식당,,,,,10:00,20:30,10:00,20:30,,,
잠녀해녀촌,,,,,07:00,20:30,07:00,20:30,,,
촌촌해녀촌,,,,,09:00,19:00,09:00,19:00,,,
마라도별장식당,,,,,10:00,16:00,10:00,16:00,,,
BHC치킨 연동점,,,,,12:00,00:00,12:00,00:00,,,치킨
제주신화월드 F&B,,,,,,,,,,,
월정리갈비밥,,,,,11:00,19:40,11:00,19:40,,,
쉬림프박스,,,,,11:00,18:00,11:00,18:00,,,
머루황토불갈비,,,,,10:00,22:00,10:00,22:00,,,
난드르깡통구이,,,,,16:00,22:00,16:00,22:00,,,
살랑살랑샤브샤브,,,,,,,,,,,
미번베트남쌀국수,,,,,08:00,21:00,08:00,21:00,,,
좀녀마을뚝배기,,,,,08:00,20:00,08:00,20:00,,,
행운문,,,,,11:00,17:00,11:00,17:00,,,새우버거
쉐프1192레스토랑,y,y,,,10:00,21:00,10:00,21:00,,,"비프 나시 고랭, 허브버터갈릭 안심스테이크, 그릴피쉬"
천보식당,,,,,17:00,21:00,17:00,21:00,,,
제주돔베막국수,,,,,11:00,14:00,11:00,14:00,,,
카페오늘의바다,y,y,,,08:00,22:00,08:00,22:00,,,"오늘의 바다 소다, 쑥라떼"
제주스럽닭서귀포올레점,y,y,,,11:30,01:00,11:30,01:00,,,"댕귤까망SET, 숙성마농mini, 제주까망치킨, 청귤맥주"
제주에인감귤밭,y,y,,,10:00,18:00,10:00,18:00,,,"라퐁퐁당에이드, 청귤퐁당에이드, 자몽퐁당에이드, 프렌치토스트, 봉귤주스"
상명식당,,,,,11:00,21:30,11:00,21:30,,,"점심뷔페 9,000 원"
숨비나리카페,,,,,10:00,18:00,10:00,18:00,,,
엄블랑디,,,,,08:00,17:00,,,,,
제주오성,,y,,,08:00,21:00,08:00,21:00,,,
카페 아트진,,,,,11:00,21:30,11:00,21:30,,,
모퉁이스낵,,,,,17:00,00:00,17:00,00:00,,,
황금어장,,,,,10:00,22:30,10:00,22:30,,,
바다동굴,,,,,11:30,18:00,,,,,
현기네식당,,,,,06:00,15:00,06:00,15:00,,,
은희네해장국 본점,,,,,06:00,15:00,06:00,14:00,,,
제주 어가,,,,,09:00,20:40,09:00,20:40,,,
치치퐁,,,,,10:30,17:20,10:30,17:20,,,
참전복죽,y,y,n,주문전 요청가능,08:00,16:00,08:00,16:00,,,참전복죽
명품진전복해물탕,,,,,11:00,21:00,11:00,21:00,,,
정순화손두부,,,,,09:00,20:30,09:00,20:30,,,
달에,,,,,19:00,23:00,19:00,23:00,,,
오르막가든,,,,,10:00,22:00,10:00,22:00,,,
아라서,y,y,,,11:30,21:00,11:30,21:00,,,
두리호집,,,,,09:30,21:00,09:30,21:00,,,
카페 웰컴,,,,,,,,,,,
운해횟집,,,,,11:30,22:00,11:30,22:00,,,
자리돔횟집,,,,,11:00,21:30,11:00,21:30,,,
금문도,,,,,11:00,22:00,11:00,22:00,,,
시니어손맛 아리랑,,,,,10:00,15:00,,,,,
바다풍경횟집,,,,,11:00,23:00,11:00,23:00,,,
비양도식당,,,,,08:00,21:00,08:00,21:00,,,
두가시영,,,,,10:00,21:00,10:00,21:00,,,
달리맨,,,,,11:00,21:00,11:00,21:00,,,
알마니,,,,,17:00,00:00,17:00,00:00,,,
워터쉐드카페,,,,,09:00,18:00,09:00,18:00,,,
앞돈지,,,,,09:30,21:40,09:30,21:40,,,
곽지BAR다,,,,,17:00,22:30,17:00,22:30,,,
넘버 138,,,,,,,,,,,
2093하우스,,,,,10:00,15:00,10:00,15:00,,,
금능제면소,y,y,,,09:30,21:00,09:30,21:00,,,
데미안,,,,,11:00,15:30,11:00,15:30,,,
현옥식당,,,,,07:00,22:00,07:00,22:00,,,
땅땅치킨 봉개점,,,,,,,,,,,
카페공작소,,,,,09:00,19:00,09:00,19:00,,,
명리동식당구좌직영점,y,y,,,11:30,21:30,11:30,21:30,,,"제주 흑돼지 삽겹 및 목살, 제주 짜투리 고기, 김치전골 뚝배기"
협재이길,y,y,,,08:00,15:00,08:00,15:00,,,"치즈김치볶음밥, 잠봉치즈샌드위치, 크림치즈바게뜨, 크로플샌드, 이길피자, 퍼스트모닝"
섭지향,,,,,11:00,22:00,11:00,22:00,,,
돈사돈,,,,,12:00,22:00,12:00,22:00,,,
카페씨닉,y,n,,,10:00,19:00,10:00,19:00,,,"흑돼지 잠봉뵈르, 에그인헬, 갈레트, 브라운토스트, 너트라떼"
아뜰리에 제주명월,,,,,11:00,18:00,11:00,18:00,,,
숙이네보리빵,,,,,08:00,17:00,08:00,17:00,,,
르카페하도,y,y,,,08:30,00:00,08:30,00:00,,,"핸드드립 커피, 유기농차, 생과일에이드, 깔라만시파인애플"
리보스코화덕피자,,,,,11:00,21:00,11:00,21:00,,,
세이슌,,,,,11:00,03:00,11:00,03:00,,,
그릴데미그라스,,,,,11:30,21:00,11:30,21:00,,,
연화키친,,,,,10:30,20:00,10:30,20:00,,,
키아스마,,,,,11:00,18:00,11:00,18:00,,,
